FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,(10)Observed crash frequency in before period,(19)Predicted average crash frequency in before period,(19)Original Predicted average crash frequency in before period,(13)Observed crash frequency in after period,(25)Predicted average crash frequency in after period,(25)Original Predicted average crash frequency in after period,(20)Overdispersion parameter k,(21)Weighted adjustment w,(22)Expected average crash frequency in before period,(26)Adjustment factor r,(27)Expected average crash frequency in after period without treatment,(28)Odds ratio,(29)Safety effectiveness(%),Step 8:(13) sum of observed after,Step 8:(27) sum of expected after,Step 8:OR*,(30)Variance Term,(30) Sum of Variance,Step 9:OR,Step 10: Safety Effectiveness,Step 11:Var(OR),Step 12:Stand Error of OR,Step 13:Standard Error of the Safety Effectiveness,Step 14: Sginificance,before_years,after_years,before_avgADT,after_avgADT,speed_osm,lanes_osm
Arterial-Class C (Truck Route Low speeds),82 AV [EB-S] NW,E,2.5,1,1,0,0,1,641.485,Mid2223,EBD,243.9713659,130.6929341,1,DFS066,82 Ave EO 99 St EB,EB,50,Ward 11,6610,Ritchie,53.51795,-113.48478,3-Oct-16,Yes,45,15.53860228,13.9807796,3,2.810463189,3.816240763,0.547372298,0.105203353,41.90056217,0.272963373,11.4373188,0.262299237,73.77007625,359.5,546.6408647,0.657652992,2.793527502,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,13164.36968,12383.81991,50,2
Arterial-Class C (Truck Route Low speeds),82 AV [WB-S] NW,W,2.5,1,1,0,0,0,369.036,Mid2239,WBD,446.2087752,391.7003563,1,DFS073,82 Ave @ 95 A St WB,WB,50,Ward 08,6491,Mill Creek Ravine North,53.518169,-113.475383,3-Oct-16,Yes,6,13.3634841,12.06785119,4,2.706241103,3.674720826,0.547372298,0.120267461,6.885587533,0.304504983,2.096695717,1.90776371,-90.77637105,359.5,546.6408647,0.657652992,0.561669018,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,13993.05603,15230.95424,50,2
Arterial-Class D (Non-Truck Route Low speeds),CASTLE DOWNS RD [EB-S] NW,E,2,1,0,0,0,0,387.701,Mid4257,EBD,453.4186992,2337.701065,1,DFS074,EB Castledowns Rd W of 109St,EB,60,Ward 03,3280,Lorelei,53.62697,-113.5119,12-Oct-16,No,2,8.634924661,7.839902877,0,1.788601636,2.433337004,0.547372298,0.17462617,3.15863148,0.310378463,0.980371184,0,100,359.5,546.6408647,0.657652992,0.251149785,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,7697.750868,8587.875,40,2
Arterial-Class D (Non-Truck Route Low speeds),CASTLE DOWNS RD [WB-S] NW,W,2,1,0,0,0,1,768.033,Mid4280,WBD,443.6363341,2723.438954,1,DFS075,WB Castledowns Rd WO 100 St,WB,60,Ward 03,3030,Baturyn,53.62897,-113.49998,12-Oct-16,Yes,8,11.37113922,10.33006219,1,2.433737644,3.30915792,0.547372298,0.138422739,8.466642324,0.320342497,2.712225347,0.368700927,63.12990729,359.5,546.6408647,0.657652992,0.748573685,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,8093.604512,9415.5,40,2
Arterial-Class D (Non-Truck Route Low speeds),MEADOWLARK RD [NB-S] NW,N,2,1,0,0,0,1,799.93,Mid4404,NBD,161.8132321,40.59549233,1,DFS071,Meadowlark Rd NO 89 Ave NB,NB,50,Ward 01,4310,Meadowlark Park,53.52314,-113.59239,3-Oct-16,Yes,6,10.06688284,9.039435107,3,2.066857595,2.806521799,0.547372298,0.153601979,6.624681252,0.310475352,2.056800245,1.458576255,-45.85762553,359.5,546.6408647,0.657652992,0.540497741,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,6638.761905,7414.314143,60,3
Arterial-Class D (Non-Truck Route Low speeds),RABBIT HILL RD [NB-S] NW,N,2,0,0,0,0,1,1326.3,Mid4415,NBD,622.1273932,1310.085091,1,DFS076,NB Rabbit Hill Rd N of Leger,NB,60,Ward 09,5620,Hodgson,53.45735,-113.56547,11-Oct-16,Yes,14,15.26770153,13.80943623,1,3.075684718,4.176376848,0.547372298,0.106870526,14.13547993,0.302429207,4.274981985,0.233919114,76.60808856,359.5,546.6408647,0.657652992,1.154708709,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,9242.1125,9960.520105,40,1
Arterial-Class C (Truck Route Low speeds),107 AV NW,D,3,1,0,0,0,1,849.167,Mid1011,EBD,570.7167648,501.8344984,1,DFS141,107 Ave @ 120 St,EB,50,Ward 06,1180,Queen Mary Park,53.55089,-113.52938,26-Nov-17,Yes,46,15.12374243,14.47207604,3,1.585308598,2.030540302,0.551422138,0.107071352,42.69403736,0.140307465,5.990292151,0.500810298,49.91897015,359.5,546.6408647,0.657652992,0.750491086,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,8,1,10259.26031,11944.61876,50,4
Arterial-Class C (Truck Route Low speeds),112 AV NW,D,2,0,0,0,0,0,928.119,Mid1232,WBD,221.7264797,9.38201268,1,DFS084,112 ave eo 74 st,WB,50,Ward 07,1240,Virginia Park,53.56214,-113.45103,17-Nov-16,Yes,16.5,16.63553418,14.89210065,2.5,3.170877878,4.284582424,0.551422138,0.09829747,16.51332267,0.287708398,4.751021614,0.526202616,47.37973844,359.5,546.6408647,0.657652992,1.23254514,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,12204.73802,12308.65599,50,2
Arterial-Class C (Truck Route Low speeds),112 AV NW,D,2,0,0,0,0,0,316.251,Mid1233,EBD,740.2985375,401.3043528,1,DFS083,112 ave eo 80 st,EB,50,Ward 07,1070,Cromdale,53.56119,-113.46375,17-Nov-16,Yes,7,11.32392294,10.12199332,1,2.175093983,2.93905026,0.551422138,0.13804029,7.596875577,0.290362794,2.205850017,0.453339979,54.66600213,359.5,546.6408647,0.657652992,0.552082414,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,12049.03571,12290.193,50,5
Arterial-Class C (Truck Route Low speeds),23 AV [WB-S] NW,W,1,0,0,0,0,0,1783,Mid1827,WBD,506.5935025,2263.089076,1,DFS088,23 Avenue wo 119 St,WB,60,Ward 10,5070,Blue Quill Estates,53.455904,-113.541686,17-Nov-16,Yes,29,23.6082865,21.28405645,9,4.719305567,6.376862959,0.551422138,0.071336182,28.61537575,0.299607501,8.573381209,1.049760856,-4.976085636,359.5,546.6408647,0.657652992,2.385411682,274.6114798,0.657049165,34.29508352,0.001597616,0.039970192,3.997019158,8.580164908,7,2,14485.83814,15430.37773,60,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
