FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,(10)Observed crash frequency in before period,(19)Predicted average crash frequency in before period,(19)Original Predicted average crash frequency in before period,(13)Observed crash frequency in after period,(25)Predicted average crash frequency in after period,(25)Original Predicted average crash frequency in after period,(20)Overdispersion parameter k,(21)Weighted adjustment w,(22)Expected average crash frequency in before period,(26)Adjustment factor r,(27)Expected average crash frequency in after period without treatment,(28)Odds ratio,(29)Safety effectiveness(%),Step 8:(13) sum of observed after,Step 8:(27) sum of expected after,Step 8:OR*,(30)Variance Term,(30) Sum of Variance,Step 9:OR,Step 10: Safety Effectiveness,Step 11:Var(OR),Step 12:Stand Error of OR,Step 13:Standard Error of the Safety Effectiveness,Step 14: Sginificance,before_years,after_years,before_avgADT,after_avgADT,speed_osm,lanes_osm
Arterial-Class C (Truck Route Low speeds),82 AV [EB-S] NW,E,2.5,1,1,0,0,1,641.485,Mid2223,EBD,243.9713659,130.6929341,1,DFS066,82 Ave EO 99 St EB,EB,50,Ward 11,6610,Ritchie,53.51795,-113.48478,3-Oct-16,Yes,51,17.88069929,16.08316404,3,3.211957697,4.384477424,0.542013072,0.093531609,47.90229852,0.272612865,13.05878283,0.229730446,77.02695543,411.5,643.4771057,0.639494391,3.227020402,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,13164.36968,12383.81991,50,2
Arterial-Class C (Truck Route Low speeds),82 AV [WB-S] NW,W,2.5,1,1,0,0,0,369.036,Mid2239,WBD,446.2087752,391.7003563,1,DFS073,82 Ave @ 95 A St WB,WB,50,Ward 08,6491,Mill Creek Ravine North,53.518169,-113.475383,3-Oct-16,Yes,9,15.28028035,13.79872649,4,3.083541482,4.209183087,0.542013072,0.107734105,9.676600385,0.305041417,2.951763897,1.355121934,-35.51219338,411.5,643.4771057,0.639494391,0.803405351,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,13993.05603,15230.95424,50,2
Arterial-Class D (Non-Truck Route Low speeds),CASTLE DOWNS RD [EB-S] NW,E,2,1,0,0,0,0,387.701,Mid4257,EBD,453.4186992,2337.701065,1,DFS074,EB Castledowns Rd W of 109St,EB,60,Ward 03,3280,Lorelei,53.62697,-113.5119,12-Oct-16,No,3,9.752652856,8.85933835,0,2.014607456,2.75591135,0.542013072,0.159082025,4.074225687,0.311074173,1.267386386,0,100,411.5,643.4771057,0.639494391,0.331532897,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,7697.750868,8587.875,40,2
Arterial-Class D (Non-Truck Route Low speeds),CASTLE DOWNS RD [WB-S] NW,W,2,1,0,0,0,1,768.033,Mid4280,WBD,443.6363341,2723.438954,1,DFS075,WB Castledowns Rd WO 100 St,WB,60,Ward 03,3030,Baturyn,53.62897,-113.49998,12-Oct-16,Yes,12,12.9728675,11.79211149,1,2.771729145,3.789242269,0.542013072,0.124510305,12.12113203,0.321337046,3.894968758,0.256741469,74.32585312,411.5,643.4771057,0.639494391,1.095760937,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,8093.604512,9415.5,40,2
Arterial-Class D (Non-Truck Route Low speeds),MEADOWLARK RD [NB-S] NW,N,2,1,0,0,0,1,799.93,Mid4404,NBD,161.8132321,40.59549233,1,DFS071,Meadowlark Rd NO 89 Ave NB,NB,50,Ward 01,4310,Meadowlark Park,53.52314,-113.59239,3-Oct-16,Yes,6,11.4573154,10.28127151,3,2.343796673,3.199395686,0.542013072,0.138695972,6.756907664,0.311186771,2.10266028,1.426764004,-42.67640038,411.5,643.4771057,0.639494391,0.563568507,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,6638.761905,7414.314143,60,3
Arterial-Class D (Non-Truck Route Low speeds),RABBIT HILL RD [NB-S] NW,N,2,0,0,0,0,1,1326.3,Mid4415,NBD,622.1273932,1310.085091,1,DFS076,NB Rabbit Hill Rd N of Leger,NB,60,Ward 09,5620,Hodgson,53.45735,-113.56547,11-Oct-16,Yes,15,17.59792347,15.92238913,2,3.533001755,4.822718074,0.542013072,0.094891924,15.24652196,0.302889097,4.618005276,0.433087422,56.69125779,411.5,643.4771057,0.639494391,1.266013992,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,9242.1125,9960.520105,40,1
Arterial-Class C (Truck Route Low speeds),107 AV NW,D,3,1,0,0,0,1,849.167,Mid1011,EBD,570.7167648,501.8344984,1,DFS141,107 Ave @ 120 St,EB,50,Ward 06,1180,Queen Mary Park,53.55089,-113.52938,26-Nov-17,Yes,58,17.35947225,16.63571528,4,1.821585907,2.341421773,0.54519373,0.095563234,54.11625974,0.140746685,7.616684145,0.525162909,47.48370914,411.5,643.4771057,0.639494391,0.969577053,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,8,1,10259.26031,11944.61876,50,4
Arterial-Class C (Truck Route Low speeds),112 AV NW,D,2,0,0,0,0,0,928.119,Mid1232,WBD,221.7264797,9.38201268,1,DFS084,112 ave eo 74 st,WB,50,Ward 07,1240,Virginia Park,53.56214,-113.45103,17-Nov-16,Yes,18.5,19.23999757,17.20123731,2.5,3.643362872,4.949652025,0.54519373,0.087035792,18.56440627,0.287749767,5.341903576,0.467997964,53.20020356,411.5,643.4771057,0.639494391,1.40334605,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,12204.73802,12308.65599,50,2
Arterial-Class C (Truck Route Low speeds),112 AV NW,D,2,0,0,0,0,0,316.251,Mid1233,EBD,740.2985375,401.3043528,1,DFS083,112 ave eo 80 st,EB,50,Ward 07,1070,Cromdale,53.56119,-113.46375,17-Nov-16,Yes,8,12.90330655,11.51939795,1.5,2.462904288,3.345952524,0.54519373,0.124458577,8.610258554,0.290462448,2.500956775,0.599770462,40.02295381,411.5,643.4771057,0.639494391,0.636023081,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,12049.03571,12290.193,50,5
Arterial-Class C (Truck Route Low speeds),23 AV [WB-S] NW,W,1,0,0,0,0,0,1783,Mid1827,WBD,506.5935025,2263.089076,1,DFS088,23 Avenue wo 119 St,WB,60,Ward 10,5070,Blue Quill Estates,53.455904,-113.541686,17-Nov-16,Yes,32,27.61967741,24.89173877,10,5.496827203,7.467656353,0.54519373,0.062273965,31.72721994,0.300005412,9.518337703,1.050603615,-5.060361507,411.5,643.4771057,0.639494391,2.67772623,333.0788599,0.638980385,36.10196149,0.001320654,0.036340798,3.634079797,9.934278693,7,2,14485.83814,15430.37773,60,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
